,id,val,Node,Channel,Value,is_posted,create_ts,sent_ts,State ,rolling_avg,pred
113,4404381,1603285244, EC4N0003, A1,0.15,0,2020-10-21 13:00:00,0.0,Idle,0.1375,Idle
114,4404382,1603285244, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.03,Idle,0.1375,Idle
115,4404383,1603285244, EC4N0003, A0,0.12,0,2020-10-21 13:00:00,0.04,Idle,0.1375,Idle
116,4404393,1603285245, EC4N0003, A2,0.16,0,2020-10-21 13:00:00,-0.05,Idle,0.14500000000000002,Idle
117,4404394,1603285245, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,0.01,Idle,0.135,Idle
118,4404395,1603285245, EC4N0003, A1,0.12,0,2020-10-21 13:00:00,-0.02,Idle,0.1275,Idle
119,4404404,1603285246, EC4N0003, A0,0.1,0,2020-10-21 13:00:00,0.01,Idle,0.1225,Idle
120,4404405,1603285246, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.0,Idle,0.10999999999999999,Idle
121,4404415,1603285247, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,0.0,Idle,0.10999999999999999,Idle
122,4404416,1603285247, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.03,Idle,0.10749999999999998,Idle
123,4404417,1603285247, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,-0.02,Idle,0.1175,Idle
124,4404427,1603285248, EC4N0003, A1,0.12,0,2020-10-21 13:00:00,0.03,Idle,0.12,Idle
125,4404428,1603285248, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.03,Idle,0.13,Idle
126,4404429,1603285248, EC4N0003, A0,0.12,0,2020-10-21 13:00:00,0.03,Idle,0.1325,Idle
127,4404439,1603285249, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.03,Idle,0.135,Idle
128,4404440,1603285249, EC4N0003, A0,0.12,0,2020-10-21 13:00:00,0.03,Idle,0.135,Idle
129,4404449,1603285250, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.05,Idle,0.135,Idle
130,4404450,1603285250, EC4N0003, A0,0.1,0,2020-10-21 13:00:00,0.02,Idle,0.13,Idle
131,4404451,1603285250, EC4N0003, A1,0.12,0,2020-10-21 13:00:00,-0.02,Idle,0.1225,Idle
132,4404459,1603285251, EC4N0003, A0,0.1,0,2020-10-21 13:00:00,0.01,Idle,0.1175,Idle
133,4404460,1603285251, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.03,Idle,0.10749999999999998,Idle
134,4404461,1603285251, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,-0.04,Idle,0.1175,Idle
135,4404471,1603285252, EC4N0003, A1,0.1,0,2020-10-21 13:00:00,0.04,Idle,0.11249999999999999,Idle
136,4404472,1603285252, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,0.0,Idle,0.1225,Idle
137,4404490,1603285254, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,-0.02,Idle,0.13,Idle
138,4404491,1603285254, EC4N0003, A0,0.12,0,2020-10-21 13:00:00,-0.02,Idle,0.125,Idle
139,4404492,1603285254, EC4N0003, A1,0.1,0,2020-10-21 13:00:00,0.01,Idle,0.125,Idle
140,4404501,1603285255, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,0.01,Idle,0.1175,Idle
141,4404502,1603285255, EC4N0003, A1,0.12,0,2020-10-21 13:00:00,-0.02,Idle,0.11249999999999999,Idle
142,4404511,1603285256, EC4N0003, A0,0.1,0,2020-10-21 13:00:00,0.01,Idle,0.10749999999999998,Idle
143,4404512,1603285256, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.03,Idle,0.10999999999999999,Idle
144,4404513,1603285256, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,-0.05,Idle,0.1175,Idle
145,4404522,1603285257, EC4N0003, A1,0.09,0,2020-10-21 13:00:00,0.05,Idle,0.10999999999999999,Idle
146,4404523,1603285257, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,0.01,Idle,0.12,Idle
147,4404532,1603285258, EC4N0003, A2,0.15,0,2020-10-21 13:01:00,-0.02,Idle,0.13,Idle
148,4404533,1603285258, EC4N0003, A0,0.13,0,2020-10-21 13:01:00,0.02,Idle,0.1275,Idle
149,4404543,1603285259, EC4N0003, A2,0.15,0,2020-10-21 13:01:00,-0.03,Idle,0.14250000000000002,Idle
150,4404544,1603285259, EC4N0003, A0,0.12,0,2020-10-21 13:01:00,-0.01,Idle,0.1375,Idle
151,4404545,1603285259, EC4N0003, A1,0.11,0,2020-10-21 13:01:00,0.0,Idle,0.1275,Idle
152,4404554,1603285260, EC4N0003, A0,0.11,0,2020-10-21 13:01:00,0.03,Idle,0.1225,Idle
153,4404555,1603285260, EC4N0003, A1,0.14,0,2020-10-21 13:01:00,-0.04,Idle,0.12,Idle
154,4404565,1603285261, EC4N0003, A0,0.1,0,2020-10-21 13:01:00,0.01,Idle,0.11499999999999999,Idle
155,4404566,1603285261, EC4N0003, A1,0.11,0,2020-10-21 13:01:00,0.04,Idle,0.11499999999999999,Idle
156,4404567,1603285261, EC4N0003, A2,0.15,0,2020-10-21 13:01:00,-0.05,Idle,0.125,Idle
157,4404577,1603285262, EC4N0003, A1,0.1,0,2020-10-21 13:01:00,0.04,Idle,0.11499999999999999,Idle
158,4404578,1603285262, EC4N0003, A2,0.14,0,2020-10-21 13:01:00,-0.03,Idle,0.125,Idle
159,4404579,1603285262, EC4N0003, A0,0.11,0,2020-10-21 13:01:00,0.04,Idle,0.125,Idle
160,4404589,1603285263, EC4N0003, A2,0.15,0,2020-10-21 13:01:00,-0.06,Idle,0.125,Idle
161,4404590,1603285263, EC4N0003, A0,0.09,0,2020-10-21 13:01:00,0.06,Idle,0.1225,Idle
162,4404599,1603285264, EC4N0003, A2,0.15,0,2020-10-21 13:01:00,-0.03,Idle,0.125,Idle
163,4404600,1603285264, EC4N0003, A0,0.12,0,2020-10-21 13:01:00,-0.01,Idle,0.1275,Idle
164,4404601,1603285264, EC4N0003, A1,0.11,0,2020-10-21 13:01:00,0.0,Idle,0.1175,Idle
165,4404609,1603285265, EC4N0003, A0,0.11,0,2020-10-21 13:01:00,0.01,Idle,0.1225,Idle
166,4404610,1603285265, EC4N0003, A1,0.12,0,2020-10-21 13:01:00,0.04,Idle,0.11499999999999999,Idle
167,4404611,1603285265, EC4N0003, A2,0.16,0,2020-10-21 13:01:00,-0.05,Idle,0.125,Idle
168,4404613,1603285266, EC4N0003, A1,0.11,0,2020-10-21 13:01:00,0.03,Idle,0.125,Idle
